#1
double tab1(8760,3)
# Date
# aer_gen_co2e
# price
0	0.32280000000000003	0.072
3600	0.3327	0.044
7200	0.3413	0.02
10800	0.3413	0.011
14400	0.3411	0.033
18000	0.3401	0.11
21600	0.3351	0.267
25200	0.1372	0.308
28800	0.0869	0.216
32400	0.081	0.158
36000	0.0855	0.126
39600	0.0881	0.105
43200	0.0848	0.132
46800	0.0798	0.183
50400	0.08070000000000001	0.249
54000	0.1704	0.312
57600	0.2548	0.396
61200	0.18969999999999998	0.525
64800	0.1855	0.497
68400	0.19519999999999998	0.452
72000	0.213	0.392
75600	0.2314	0.311
79200	0.26289999999999997	0.2
82800	0.2939	0.111
86400	0.31860000000000005	0.072
90000	0.3301	0.044
93600	0.3317	0.02
97200	0.3337	0.011
100800	0.3346	0.033
104400	0.3356	0.11
108000	0.32580000000000003	0.267
111600	0.172	0.308
115200	0.1044	0.216
118800	0.1	0.158
122400	0.0992	0.126
126000	0.1025	0.105
129600	0.09759999999999999	0.132
133200	0.0958	0.183
136800	0.0945	0.249
140400	0.2059	0.312
144000	0.2512	0.396
147600	0.2051	0.525
151200	0.2009	0.497
154800	0.2117	0.452
158400	0.22790000000000002	0.392
162000	0.24869999999999998	0.311
165600	0.2792	0.2
169200	0.32130000000000003	0.111
172800	0.3625	0.072
176400	0.3489	0.044
180000	0.3381	0.02
183600	0.3411	0.011
187200	0.3593	0.033
190800	0.3379	0.11
194400	0.2838	0.267
198000	0.2033	0.308
201600	0.0973	0.216
205200	0.0866	0.158
208800	0.0883	0.126
212400	0.09179999999999999	0.105
216000	0.09079999999999999	0.132
219600	0.0876	0.183
223200	0.09240000000000001	0.249
226800	0.209	0.312
230400	0.24869999999999998	0.396
234000	0.1921	0.525
237600	0.1891	0.497
241200	0.2066	0.452
244800	0.2258	0.392
248400	0.2582	0.311
252000	0.2831	0.2
255600	0.3157	0.111
259200	0.3475	0.072
262800	0.3548	0.044
266400	0.346	0.02
270000	0.3451	0.011
273600	0.3541	0.033
277200	0.3272	0.11
